category	brand	series	slug	url
フルタワー	FRONTIER	FullTower	full	https://www.frontier-direct.jp/direct/e/ejFull/
ミドルタワー	FRONTIER	MiddleTower	middle	https://www.frontier-direct.jp/direct/e/ejMiddle/
ミニタワー	FRONTIER	MiniTower	mini	https://www.frontier-direct.jp/direct/e/ejMini/
省スペース	FRONTIER	Slim	slim	https://www.frontier-direct.jp/direct/e/ejSlim/
15.6型～	FRONTIER	Notebook15	notebook15	https://www.frontier-direct.jp/direct/r/r2010/
14.0型	FRONTIER	Notebook14	notebook14	https://www.frontier-direct.jp/direct/r/r2020/
VGA搭載ノートPC	FRONTIER	GamingNotebook	gaming-notebook	https://www.frontier-direct.jp/direct/r/r2030/
2in1	FRONTIER	TwoInOne	2in1	https://www.frontier-direct.jp/direct/r/r2040/
