maker	keyword	collaboration	priority
asus	初音ミク	初音ミク	100
asus	EVA	エヴァンゲリオン	100
asus	エヴァ	エヴァンゲリオン	100
msi	Monster Hunter	モンスターハンター	100
msi	モンスターハンター	モンスターハンター	100
gigabyte	AORUS x STEINS;GATE	STEINS;GATE	200
gigabyte	STEINS;GATE	STEINS;GATE	100
gigabyte	シュタインズ・ゲート	STEINS;GATE	100
lenovo	ドラゴンクエスト	ドラゴンクエスト	100
lenovo	ドラクエ	ドラゴンクエスト	100
