maker	keyword	brand	series	collaboration	priority
hp	hp	HP	HP Japan		200
hp	hp	HP	HP PC		200
hp	hp	HP	HPパソコン		200
hp	hp	HP	HPノートPC		200
hp	hp	HP	HPデスクトップ		200
hp	elitebook	HP	ELITEBOOK		200
hp	elitebook	HP	Elite Book		200
hp	elitebook	HP	EliteBook X		200
hp	elitebook	HP	EliteBook Ultra		200
hp	elitebook	HP	EliteBook 600		200
hp	elitebook	HP	EliteBook 800		200
hp	pro	HP	Pro		200
hp	probook	HP	PROBOOK		200
hp	probook	HP	Pro Book		200
hp	probook	HP	ProBook 400		200
hp	probook	HP	ProBook 600		200
hp	prodesk	HP	PRODESK		200
hp	prodesk	HP	Pro Desk		200
hp	prodesk	HP	ProDesk 400		200
hp	elitedesk	HP	ELITEDESK		200
hp	elitedesk	HP	Elite Desk		200
hp	elitedesk	HP	EliteDesk 800		200
hp	zbook	HP	ZBOOK		200
hp	zbook	HP	Z Book		200
hp	zbook	HP	ZBook Firefly		200
hp	zbook	HP	ZBook Power		200
hp	zbook	HP	ZBook Fury		200
hp	omen	HP	OMEN 16		200
hp	omen	HP	OMEN 17		200
hp	omen	HP	OMEN Transcend		200
hp	hp victus	HP	Victus Gaming		200
hp	hp victus	HP	Victus 15		200
hp	hp victus	HP	Victus 16		200
hp	spectre	HP	SPECTRE		200
hp	spectre	HP	Spectre x360		200
hp	envy	HP	Envy		200
hp	envy	HP	ENVY x360		200
hp	pavilion	HP	PAVILION		200
hp	pavilion	HP	Pavilion Aero		200
hp	pavilion	HP	Pavilion Plus		200
asus	rog strix	ASUS	ROG Strix		100
asus	rog zephyrus	ASUS	ROG Zephyrus		100
asus	rog flow	ASUS	ROG Flow		100
asus	rog ally	ASUS	ROG Ally		100
asus	rog	ASUS	ROG		90
asus	tuf gaming	ASUS	TUF Gaming		100
asus	tuf	ASUS	TUF Gaming		90
asus	proart studiobook	ASUS	ProArt Studiobook		100
asus	proart px	ASUS	ProArt		100
asus	proart	ASUS	ProArt		90
asus	zenbook pro	ASUS	Zenbook Pro		100
asus	zenbook s	ASUS	Zenbook S		100
asus	zenbook duo	ASUS	Zenbook Duo		100
asus	zenbook	ASUS	Zenbook		90
asus	vivobook pro	ASUS	Vivobook Pro		100
asus	vivobook flip	ASUS	Vivobook Flip		100
asus	vivobook s	ASUS	Vivobook S		100
asus	vivobook go	ASUS	Vivobook Go		100
asus	vivobook	ASUS	Vivobook		90
asus	expertbook b	ASUS	ExpertBook B		100
asus	expertbook p	ASUS	ExpertBook P		100
asus	expertbook	ASUS	ExpertBook		90
asus	expertcenter d	ASUS	ExpertCenter D		100
asus	expertcenter p	ASUS	ExpertCenter P		100
asus	expertcenter	ASUS	ExpertCenter		90
asus	chromebook plus	ASUS	Chromebook Plus		100
asus	chromebook	ASUS	Chromebook		90
asus	nuc pro	ASUS	N ASUS NUC Pro		100
asus	nuc 14	ASUS	N ASUS NUC		100
asus	nuc 15	ASUS	N ASUS NUC		100
asus	nuc	ASUS	N ASUS NUC		90
asus	asus gaming	ASUS	ASUS Gaming		90
asus	v400 aio	ASUS	V400 AiO		100
asus	v400	ASUS	V400		90
asus	v500 mini tower	ASUS	V500 Mini Tower		100
asus	v500 sff	ASUS	V500 SFF		100
asus	v500	ASUS	V500		90
asus	v600 aio	ASUS	V600 AiO		100
asus	v600	ASUS	V600		90
