category,name,price,url,image_url,description
desktop,FRGHLB550/5060,189800,https://www.frontier-direct.jp/direct/g/g121483/,https://www.frontier-direct.jp/img/goods/L/GHL-WB-K3.jpg,
desktop,FRGHLB550/9060,219800,https://www.frontier-direct.jp/direct/g/g121485/,https://www.frontier-direct.jp/img/goods/L/GHL-WB-K3.jpg,
desktop,FRGKB550/SK1,201800,https://www.frontier-direct.jp/direct/g/g121556/,https://www.frontier-direct.jp/img/goods/L/GK_primer2.png,
desktop,FRGKB550/SK2,206800,https://www.frontier-direct.jp/direct/g/g121557/,https://www.frontier-direct.jp/img/goods/L/GK_primer2.png,
desktop,FRGKA620/SK2,213800,https://www.frontier-direct.jp/direct/g/g122786/,https://www.frontier-direct.jp/img/goods/L/GK_primer2.png,
desktop,FRGKB760M/SK4,274800,https://www.frontier-direct.jp/direct/g/g121308/,https://www.frontier-direct.jp/img/goods/L/GK_primer2.png,
desktop,FRXAB850W/SK1,406800,https://www.frontier-direct.jp/direct/g/g122571/,https://www.frontier-direct.jp/img/goods/L/XA_wh_fps.png,
desktop,FRXAB850B/SK1,424800,https://www.frontier-direct.jp/direct/g/g122569/,https://www.frontier-direct.jp/img/goods/L/XA_bk_fps.png,
desktop,FRXAB860W/SK1,431800,https://www.frontier-direct.jp/direct/g/g122572/,https://www.frontier-direct.jp/img/goods/L/XA_wh_fps.png,
desktop,FRGHLB860/SG6,394800,https://www.frontier-direct.jp/direct/g/g121705/,https://www.frontier-direct.jp/img/goods/L/GHL-WB-K2.jpg,
desktop,FRGHLB860/SG3,419800,https://www.frontier-direct.jp/direct/g/g121702/,https://www.frontier-direct.jp/img/goods/L/GHL-WB-S.jpg,
desktop,FRGHLMB650/SG1,399800,https://www.frontier-direct.jp/direct/g/g120102/,https://www.frontier-direct.jp/img/goods/L/GHL-WB-S.jpg,
desktop,FRGHLMB650/SG2,439800,https://www.frontier-direct.jp/direct/g/g120103/,https://www.frontier-direct.jp/img/goods/L/GHL-WB-S.jpg,
desktop,FRGHLMB650/SG3,489800,https://www.frontier-direct.jp/direct/g/g120104/,https://www.frontier-direct.jp/img/goods/L/GHL-WB-S.jpg,
desktop,FRZAB850B/SK1,542800,https://www.frontier-direct.jp/direct/g/g122588/,https://www.frontier-direct.jp/img/goods/L/ZA_bk_stream.png,
desktop,FRGHLMB650/SK1,508800,https://www.frontier-direct.jp/direct/g/g120806/,https://www.frontier-direct.jp/img/goods/L/GHL_stream2.png,
desktop,FRGHLMB650/SK2,524800,https://www.frontier-direct.jp/direct/g/g120807/,https://www.frontier-direct.jp/img/goods/L/GHL_stream2.png,
desktop,FRZAZ890B/SK1,690800,https://www.frontier-direct.jp/direct/g/g122587/,https://www.frontier-direct.jp/img/goods/L/ZA_bk_stream.png,
desktop,FRGPLMB650W/SG3,409800,https://www.frontier-direct.jp/direct/g/g120109/,https://www.frontier-direct.jp/img/goods/L/120109.jpg,
desktop,FRGPLB860MW/SG3,399800,https://www.frontier-direct.jp/direct/g/g121006/,https://www.frontier-direct.jp/img/goods/L/GPLM-W-S2.jpg,
desktop,FRGPLMB650B/SG3,424800,https://www.frontier-direct.jp/direct/g/g120112/,https://www.frontier-direct.jp/img/goods/L/GPLM-B-S2.jpg,
monitor,[EOL]MSI G274PF　180Hz対応27型フルHDゲーミング液晶モニター,29800,https://www.frontier-direct.jp/direct/g/g117250-t/,https://www.frontier-direct.jp/img/goods/L/117250-t.png,
peripheral,FRONTIER GWM-S4 Gaming Mouse,5280,https://www.frontier-direct.jp/direct/g/g119140-t/,https://www.frontier-direct.jp/img/goods/L/119140-t.jpg,
peripheral,HyperX Pulsefire Haste 2 ワイヤレスゲーミングマウス[ブラック],12100,https://www.frontier-direct.jp/direct/g/g115477-t/,https://www.frontier-direct.jp/img/goods/L/115477-t.jpg,
peripheral,FRONTIER GWKB-E4/LPSR Gaming Keyboard,9900,https://www.frontier-direct.jp/direct/g/g119139-t/,https://www.frontier-direct.jp/img/goods/L/119139-t.jpg,
peripheral,HyperX Cloud III ゲーミングヘッドセット [ブラック-レッド],12980,https://www.frontier-direct.jp/direct/g/g115750-t/,https://www.frontier-direct.jp/img/goods/L/115750-t.jpg,
peripheral,HyperX Cloud III ゲーミングヘッドセット [ブラック],12980,https://www.frontier-direct.jp/direct/g/g115749-t/,https://www.frontier-direct.jp/img/goods/L/115749-t.jpg,
peripheral,HyperX QuadCast S USB マイク RGBライティング  [ホワイト],21300,https://www.frontier-direct.jp/direct/g/g114195-t/,https://www.frontier-direct.jp/img/goods/L/114195-t.jpg,
peripheral,HyperX QuadCast S USB マイク RGBライティング  [ブラック],21300,https://www.frontier-direct.jp/direct/g/g114194-t/,https://www.frontier-direct.jp/img/goods/L/114194-t.jpg,
