category	brand	seed	slug	url
モバイルノート	LAVIE	notebook	notebook	https://www.nec-lavie.jp/products/notebook/search/
デスクトップ	LAVIE	desktop	desktop	https://www.nec-lavie.jp/products/desktop/search/
タブレット	LAVIE	tablet	tablet	https://www.nec-lavie.jp/products/tablet/search/smalllight/
