category	brand	seed	slug	url
軽量ノート	LAVIE	Lightweight	all-lightweight	https://www.nec-lavie.jp/products/notebook/search/all-lightweight/
大画面ノート	LAVIE	LargeScreen	all-largescreen	https://www.nec-lavie.jp/products/notebook/search/all-largescreen/
エントリーモデル	LAVIE	LargeScreen	all-entry	https://www.nec-lavie.jp/products/notebook/search/all-entry/
オールインワン	LAVIE	LargeScreen	all-aio	https://www.nec-lavie.jp/products/desktop/search/all-aio/
デスクトップ	LAVIE	LargeScreen	all-tower	https://www.nec-lavie.jp/products/desktop/search/all-tower/
MATEシリーズ	LAVIE	LargeScreen	bizpc-mate	https://www.nec-lavie.jp/products/bizpc/mate/
VersaProシリーズ	LAVIE	LargeScreen	bizpc-versapro	https://www.nec-lavie.jp/products/bizpc/versapro/
小型タブレット	LAVIE	LargeScreen	tablet-smalllight	https://www.nec-lavie.jp/products/tablet/search/smalllight/
大画面タブレット	LAVIE	LargeScreen	tablet-standard	https://www.nec-lavie.jp/products/tablet/search/standard/
