category_id	category_name	category_type	url
ct173	サマーセール	campaign	https://www.ozgaming-pcshop.com/view/category/ct173
ct243	台数限定モデル	campaign	https://www.ozgaming-pcshop.com/view/category/ct243
ct761	数量限定	campaign	https://www.ozgaming-pcshop.com/view/category/ct761
ct72	即日出荷	campaign	https://www.ozgaming-pcshop.com/view/category/ct72
ct772	パーツ類	category	https://www.ozgaming-pcshop.com/view/category/ct772
ct773	ケース別	category	https://www.ozgaming-pcshop.com/view/category/ct773
ct177	ゲーム別	category	https://www.ozgaming-pcshop.com/view/category/ct177
