universe_slug	universe_title	sort_order	is_active	is_adult
usage	用途	10	1	0
device	デバイス	20	1	0
gpu	GPU	30	1	0
cpu	CPU	40	1	0
memory	メモリ	50	1	0
storage	ストレージ	60	1	0
monitor	モニター	70	1	0
maker	メーカー	80	1	0
adult	アダルト	90	1	1
